[2021-01-21 06:38:35,969] {{taskinstance.py:655}} INFO - Dependencies all met for <TaskInstance: MarketVol.error_log_analyzer 2021-01-21T06:37:24.920588+00:00 [queued]>
[2021-01-21 06:38:35,981] {{taskinstance.py:655}} INFO - Dependencies all met for <TaskInstance: MarketVol.error_log_analyzer 2021-01-21T06:37:24.920588+00:00 [queued]>
[2021-01-21 06:38:35,982] {{taskinstance.py:866}} INFO - 
--------------------------------------------------------------------------------
[2021-01-21 06:38:35,982] {{taskinstance.py:867}} INFO - Starting attempt 1 of 1
[2021-01-21 06:38:35,983] {{taskinstance.py:868}} INFO - 
--------------------------------------------------------------------------------
[2021-01-21 06:38:36,461] {{bash_operator.py:126}} INFO - [2021-01-14 22:50:05,577] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/TSLA.csv'
[2021-01-21 06:38:36,462] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:34,575] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/TSLA.csv'
[2021-01-21 06:38:36,463] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:53,636] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/TSLA.csv'
[2021-01-21 06:38:36,463] {{bash_operator.py:126}} INFO - [2021-01-14 22:50:07,338] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/TSLA.csv'
[2021-01-21 06:38:36,464] {{bash_operator.py:126}} INFO - [2021-01-14 22:50:18,476] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/TSLA.csv'
[2021-01-21 06:38:36,464] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:44,009] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/TSLA.csv'
[2021-01-21 06:38:36,465] {{bash_operator.py:126}} INFO - [2021-01-14 22:50:01,471] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/TSLA.csv'
[2021-01-21 06:38:36,465] {{bash_operator.py:126}} INFO - [2021-01-14 22:50:14,780] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/TSLA.csv'
[2021-01-21 06:38:36,466] {{bash_operator.py:126}} INFO - [2021-01-14 22:50:22,532] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/TSLA.csv'
[2021-01-21 06:38:36,466] {{bash_operator.py:126}} INFO - [2021-01-21 06:23:21,558] {{taskinstance.py:1128}} ERROR - Bash command failed
[2021-01-21 06:38:36,467] {{bash_operator.py:126}} INFO - [2021-01-11 18:22:14,422] {taskinstance.py:1396} ERROR - Bash command failed. The command returned a non-zero exit code.
[2021-01-21 06:38:36,467] {{bash_operator.py:126}} INFO - [2021-01-11 18:24:14,219] {taskinstance.py:1396} ERROR - Bash command failed. The command returned a non-zero exit code.
[2021-01-21 06:38:36,468] {{bash_operator.py:126}} INFO - [2021-01-11 18:25:32,857] {taskinstance.py:1396} ERROR - Bash command failed. The command returned a non-zero exit code.
[2021-01-21 06:38:36,468] {{bash_operator.py:126}} INFO - [2021-01-11 18:27:03,363] {taskinstance.py:1396} ERROR - Bash command failed. The command returned a non-zero exit code.
[2021-01-21 06:38:36,469] {{bash_operator.py:126}} INFO - [2021-01-11 18:29:39,075] {taskinstance.py:1396} ERROR - Bash command failed. The command returned a non-zero exit code.
[2021-01-21 06:38:36,469] {{bash_operator.py:126}} INFO - [2021-01-11 18:31:13,558] {taskinstance.py:1396} ERROR - Bash command failed. The command returned a non-zero exit code.
[2021-01-21 06:38:36,470] {{bash_operator.py:130}} INFO - Command exited with return code 0
[2021-01-21 06:38:36,476] {{taskinstance.py:1048}} INFO - Marking task as SUCCESS.dag_id=MarketVol, task_id=error_log_analyzer, execution_date=20210121T063724, start_date=20210121T063835, end_date=20210121T063836
[2021-01-21 06:38:45,966] {{logging_mixin.py:112}} INFO - [2021-01-21 06:38:45,965] {{local_task_job.py:103}} INFO - Task exited with return code 0
